Dbase,Accession Number,Name,Taxon,Species,Sex,Maturity,Date Admitted,Date_Admit,AdmitYr,AdmitMo, Rescue Location,Suburb,Jurisdiction,Cause of Affliction, Categories,Anatomical,Aetiological,Updated Anatomical, Updated Aetiological,Status,Status Date,Status Date2,StatusYr,StatusMo,,,,
EzyVet,153447,Perry,Reptile - Snake - Marine,Elegant Sea Snake,Female,juvenile,2025-08-23,23/8/2025,2025,Aug,Peregian Beach,PEREGIAN BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,released,03/09/2025,3/9/2025,2025,Sep,,,,
EzyVet,153426,Neptune,Reptile - Snake - Marine,Elegant Sea Snake,Male,adult,2025-08-22,22/8/2025,2025,Aug,Marcus Beach,MARCUS BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,other,,,released,16/9/2025,16/9/2025,2025,Sep,,,,
EzyVet,153427,Gonzo,Reptile - Snake - Marine,Yellow-Bellied Sea Snake,Female,sub adult,2025-08-22,22/8/2025,2025,Aug,Warana,WARANA,Sunshine Coast Regional Council,beach stranding,infection/disease - trauma,musculoskeletal - metabolic/nutritional - haematopoletic,fracture: ribs - fracture: other - parasitic: other - anaemia: parasitism - emaciation/exhaustion,,,euthanised,22/08/2025,22/8/2025,2025,Aug,,,,
EzyVet,153438,Castaway,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-08-22,22/8/2025,2025,Aug,David Low Way,CASTAWAYS BEACH,Sunshine Coast Regional Council,beach stranding,trauma,trauma: multi-organ,multi-organ/system failure,,,died in hospital,23/08/2025,23/8/2025,2025,Aug,,,,
EzyVet,153440,Wilma,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-08-22,22/8/2025,2025,Aug,Sunshine Beach,SUNSHINE BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,nad,other,,,died in hospital,23/08/2025,23/8/2025,2025,Aug,,,,
EzyVet,153405,Slipsy,Reptile - Snake - Marine,Elegant Sea Snake,Male,adult,2025-08-21,21/8/2025,2025,Aug,Tewantin - North Shore Beach,TEWANTIN,Sunshine Coast Regional Council,natural predation,trauma,musculoskeletal,spinal disease (excl. fracture),,,released,03/09/2025,3/9/2025,2025,Sep,,,,
EzyVet,153260,Ramen,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-08-19,19/8/2025,2025,Aug,Sunrise Beach,SUNRISE BEACH,Sunshine Coast Regional Council,beach stranding - overt signs of disease,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,20/08/2025,20/8/2025,2025,Aug,,,,
EzyVet,153334,Boka,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-08-17,17/8/2025,2025,Aug,Bokarina,BOKARINA,Sunshine Coast Regional Council,beach stranding - overt signs of disease,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,euthanised,18/08/2025,18/8/2025,2025,Aug,,,,
EzyVet,153160,Etty,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-08-14,14/8/2025,2025,Aug,Peregian Beach,PEREGIAN BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,haematopoletic - metabolic/nutritional,emaciation/exhaustion - other,,,euthanised,14/08/2025,14/8/2025,2025,Aug,,,,
EzyVet,153118,Ollie,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-08-12,12/8/2025,2025,Aug,Mudjimba,MUDJIMBA,Sunshine Coast Regional Council,beach stranding,trauma,metabolic/nutritional,multi-organ/system failure,,,died in hospital,13/08/2025,13/8/2025,2025,Aug,,,,
EzyVet,153082,.,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,adult,2025-08-11,11/8/2025,2025,Aug,Castaways Beach,CASTAWAYS BEACH,Sunshine Coast Regional Council,beach stranding,trauma,trauma: multi-organ,multi-organ/system failure,,,doa,11/08/2025,11/8/2025,2025,Aug,,,,
EzyVet,153101,Edna,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-08-11,11/8/2025,2025,Aug,Sunshine Beach,SUNSHINE BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,haematopoletic,anaemia: other,,,released,17/08/2025,17/8/2025,2025,Aug,,,,
EzyVet,153054,Elegans,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-08-10,10/8/2025,2025,Aug,Kingfisher Drive,PEREGIAN BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,haematopoletic,anaemia: chronic disease,,,euthanised,10/08/2025,10/8/2025,2025,Aug,,,,
EzyVet,153053,Martina,Reptile - Snake - Marine,Elegant Sea Snake,Female,adult,2025-08-10,10/8/2025,2025,Aug,Jabiru St,PEREGIAN BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,git,gastro-intestinal: other,,,released,17/08/2025,17/8/2025,2025,Aug,,,,
EzyVet,153056,Spray,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-08-10,10/8/2025,2025,Aug,Esplanade Bulcock Beach,CALOUNDRA,Sunshine Coast Regional Council,beach stranding,trauma,trauma: multi-organ,multi-organ/system failure,,,doa,10/08/2025,10/8/2025,2025,Aug,,,,
EzyVet,153071,Happy,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-08-10,10/8/2025,2025,Aug,Bulcock Street,CALOUNDRA,Sunshine Coast Regional Council,beach stranding - overt signs of disease,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,11/08/2025,11/8/2025,2025,Aug,,,,
EzyVet,153019,Gilligan,Reptile - Snake - Marine,Elegant Sea Snake,Male,adult,2025-08-09,9/8/2025,2025,Aug,Castaways Beach,CASTAWAYS BEACH,Sunshine Coast Regional Council,beach stranding,trauma - infection/disease,haematopoletic,other,,,euthanised,14/08/2025,14/8/2025,2025,Aug,,,,
EzyVet,152960,Josh,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-08-09,9/8/2025,2025,Aug,Kings Beach,KINGS BEACH,Sunshine Coast Regional Council,beach stranding - overt signs of disease,infection/disease,metabolic/nutritional - skin/feathers/scales - cns/neurological,neurological: other - parasitic: external parasites - septicaemia,,,euthanised,09/08/2025,9/8/2025,2025,Aug,,,,
